"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0005576",3.63803532783128e-11,1,659,2325,"extracellular region","CC"
"GO:0006401",4.59123968058810e-11,1,129,312,"RNA catabolic process","BP"
"GO:0043487",5.44112045396821e-11,1,64,130,"regulation of RNA stability","BP"
"GO:0002474",5.53693634988132e-11,1,45,73,"antigen processing and presentation of peptide antigen via MHC class I","BP"
"GO:0044403",5.54808303605432e-11,1,225,664,"symbiosis, encompassing mutualism through parasitism","BP"
"GO:1903311",5.95846987966685e-11,1,93,225,"regulation of mRNA metabolic process","BP"
"GO:0034097",6.76966772784148e-11,1,201,587,"response to cytokine","BP"
"GO:0051246",7.63768561266103e-11,1,485,1740,"regulation of protein metabolic process","BP"
"GO:0042254",7.85009924398554e-11,1,125,295,"ribosome biogenesis","BP"
"GO:0000375",8.78692100041506e-11,1,113,290,"RNA splicing, via transesterification reactions","BP"
"GO:0043604",1.18607259165159e-10,1,228,646,"amide biosynthetic process","BP"
"GO:0006521",1.19199527601152e-10,0.999999999985092,35,49,"regulation of cellular amino acid metabolic process","BP"
"GO:0016032",1.20493748038217e-10,1,215,632,"viral process","BP"
"GO:0022411",1.21223064934721e-10,1,154,425,"cellular component disassembly","BP"
"GO:0010608",1.334709058697e-10,1,160,446,"posttranscriptional regulation of gene expression","BP"
"GO:0007049",1.56600956070643e-10,1,394,1400,"cell cycle","BP"
"GO:0051443",1.64159569208002e-10,0.999999999966606,52,94,"positive regulation of ubiquitin-protein transferase activity","BP"
"GO:0006518",1.65590060297878e-10,1,238,682,"peptide metabolic process","BP"
"GO:0043488",1.90112556167984e-10,0.999999999955996,61,123,"regulation of mRNA stability","BP"
"GO:0051179",1.96505023065185e-10,1,943,3730,"localization","BP"
"GO:0005488",2.27504257590454e-10,1,1987,8610,"binding","MF"
"GO:0005730",2.71634221749694e-10,1,247,778,"nucleolus","CC"
"GO:0071310",3.27521290855489e-10,1,415,1473,"cellular response to organic substance","BP"
"GO:0031982",3.65250259918885e-10,1,708,2613,"vesicle","CC"
"GO:0009892",3.9931255091556e-10,1,523,1896,"negative regulation of metabolic process","BP"
"GO:0043231",4.17838133625217e-10,1,1700,7137,"intracellular membrane-bounded organelle","CC"
"GO:0044424",4.28468082443578e-10,1,2044,8868,"intracellular part","CC"
"GO:0005829",4.3589801209746e-10,1,912,3581,"cytosol","CC"
"GO:0010605",4.44922308329748e-10,1,493,1769,"negative regulation of macromolecule metabolic process","BP"
"GO:0000377",4.5189441772571e-10,1,110,287,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP"
"GO:0000398",4.5189441772571e-10,1,110,287,"mRNA splicing, via spliceosome","BP"
"GO:0050896",5.78565711277934e-10,1,1138,4630,"response to stimulus","BP"
"GO:0032268",6.1617419603725e-10,1,455,1637,"regulation of cellular protein metabolic process","BP"
"GO:0005622",6.56530455658098e-10,1,2061,8964,"intracellular","CC"
"GO:0043229",8.4724885172356e-10,1,1861,7948,"intracellular organelle","CC"
"GO:0051438",9.30650357197045e-10,0.99999999974161,57,111,"regulation of ubiquitin-protein transferase activity","BP"
"GO:0022402",1.14145075721388e-09,1,296,1012,"cell cycle process","BP"
"GO:2000060",1.18085009874047e-09,0.999999999724401,46,81,"positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","BP"
"GO:0043226",1.20735461188465e-09,1,1940,8335,"organelle","CC"
"GO:0031145",1.48929683420253e-09,0.999999999669407,44,74,"anaphase-promoting complex-dependent catabolic process","BP"
"GO:0048523",1.62388949665256e-09,1,724,2814,"negative regulation of cellular process","BP"
"GO:0032501",1.85193668985741e-09,1,866,3463,"multicellular organismal process","BP"
"GO:0044770",1.86850261057468e-09,1,160,473,"cell cycle phase transition","BP"
"GO:0043603",1.94457276396392e-09,1,259,784,"cellular amide metabolic process","BP"
"GO:0006950",2.08511030236785e-09,1,612,2309,"response to stress","BP"
"GO:0006397",2.16659339467119e-09,1,143,414,"mRNA processing","BP"
"GO:0061013",2.82750082369062e-09,0.999999999067001,63,137,"regulation of mRNA catabolic process","BP"
"GO:0033238",2.87716362204302e-09,0.999999999470026,36,56,"regulation of cellular amine metabolic process","BP"
"GO:0048731",2.9120964568761e-09,1,617,2400,"system development","BP"
"GO:0008150",3.16472780686753e-09,1,2154,9472,"biological_process","BP"
"GO:0000278",3.23268571477022e-09,1,244,812,"mitotic cell cycle","BP"
"GO:0008380",3.76743469228482e-09,1,131,369,"RNA splicing","BP"
"GO:0022610",3.77480279267314e-09,1,193,631,"biological adhesion","BP"
"GO:0042221",3.99906672981198e-09,1,610,2305,"response to chemical","BP"
"GO:0044772",4.01984827854542e-09,1,153,451,"mitotic cell cycle phase transition","BP"
"GO:0031325",4.64716180901066e-09,1,507,1921,"positive regulation of cellular metabolic process","BP"
"GO:0034655",4.72834416322118e-09,1,147,397,"nucleobase-containing compound catabolic process","BP"
"GO:0034641",4.81289663890179e-09,1,1111,4448,"cellular nitrogen compound metabolic process","BP"
"GO:0071345",5.40315993075638e-09,1,174,514,"cellular response to cytokine stimulus","BP"
"GO:0030054",5.59936340487582e-09,1,216,715,"cell junction","CC"
"GO:0007275",5.73531003970745e-09,1,683,2697,"multicellular organism development","BP"
"GO:0044085",6.27557968080601e-09,1,578,2139,"cellular component biogenesis","BP"
"GO:0031397",6.76118145827678e-09,0.999999997753077,61,126,"negative regulation of protein ubiquitination","BP"
"GO:0007155",7.02234927899448e-09,1,191,628,"cell adhesion","BP"
"GO:0009987",7.0912734365207e-09,1,2032,8842,"cellular process","BP"
"GO:0051169",7.63681983634482e-09,1,124,360,"nuclear transport","BP"
"GO:0050793",8.80439745928496e-09,1,371,1352,"regulation of developmental process","BP"
"GO:0009986",9.06063806962889e-09,1,110,318,"cell surface","CC"
"GO:0046700",9.30292064808047e-09,1,152,417,"heterocycle catabolic process","BP"
"GO:0097367",9.53606486944567e-09,1,375,1413,"carbohydrate derivative binding","MF"
"GO:0009893",1.07019730085695e-08,1,544,2076,"positive regulation of metabolic process","BP"
"GO:1905368",1.16790675404328e-08,0.999999996917177,45,81,"peptidase complex","CC"
"GO:0006415",1.19289638119674e-08,0.999999996480386,53,96,"translational termination","BP"
"GO:0000502",1.23454731436748e-08,0.999999997275003,38,63,"proteasome complex","CC"
"GO:0048513",1.31590545238556e-08,1,470,1767,"animal organ development","BP"
"GO:0043170",1.31976210809081e-08,1,1397,5852,"macromolecule metabolic process","BP"
"GO:0031329",1.340610440388e-08,1,188,602,"regulation of cellular catabolic process","BP"
"GO:0005623",1.44990960053389e-08,1,2130,9365,"cell","CC"
"GO:2000058",1.61117511912995e-08,0.99999999529821,49,94,"regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process","BP"
"GO:0042623",1.62206137124191e-08,1,94,264,"ATPase activity, coupled","MF"
"GO:0009894",1.6290442711069e-08,1,212,697,"regulation of catabolic process","BP"
"GO:0010629",1.68563423535449e-08,1,363,1270,"negative regulation of gene expression","BP"
"GO:0051716",1.73175068509542e-08,1,962,3912,"cellular response to stimulus","BP"
"GO:1903321",1.73378683612321e-08,0.999999993919488,62,132,"negative regulation of protein modification by small protein conjugation or removal","BP"
"GO:0045595",1.84185438212948e-08,1,272,946,"regulation of cell differentiation","BP"
"GO:0044270",1.86374566018668e-08,1,151,417,"cellular nitrogen compound catabolic process","BP"
"GO:0045296",1.91227013938875e-08,1,101,279,"cadherin binding","MF"
"GO:0070887",2.07430066321574e-08,1,474,1758,"cellular response to chemical stimulus","BP"
"GO:1905369",2.09814130332351e-08,0.999999995180606,38,64,"endopeptidase complex","CC"
"GO:0006913",2.18507963244619e-08,1,121,355,"nucleocytoplasmic transport","BP"
"GO:0051172",2.23693020118506e-08,1,430,1585,"negative regulation of nitrogen compound metabolic process","BP"
"GO:0002684",2.25024371504403e-08,1,166,515,"positive regulation of immune system process","BP"
"GO:0010467",2.25496046298427e-08,1,919,3656,"gene expression","BP"
"GO:0044464",2.4938710008157e-08,1,2128,9360,"cell part","CC"
"GO:0070126",2.49759814496845e-08,0.999999993064919,48,83,"mitochondrial translational termination","BP"
"GO:0044260",2.78216569870865e-08,1,1337,5590,"cellular macromolecule metabolic process","BP"
"GO:0140053",3.04140282300183e-08,0.999999989367461,62,124,"mitochondrial gene expression","BP"
"GO:0019884",3.0557910064302e-08,0.999999989402373,58,126,"antigen processing and presentation of exogenous antigen","BP"
"GO:1901361",3.27823127803568e-08,1,155,434,"organic cyclic compound catabolic process","BP"
"GO:0050794",3.37106234438902e-08,1,1391,5909,"regulation of cellular process","BP"
"GO:0070125",3.49405234630658e-08,0.999999990301815,47,81,"mitochondrial translational elongation","BP"
"GO:0031324",3.51633654243729e-08,1,451,1684,"negative regulation of cellular metabolic process","BP"
"GO:0051248",3.61646639440843e-08,1,243,804,"negative regulation of protein metabolic process","BP"
"GO:0006403",3.70222742994147e-08,1,77,200,"RNA localization","BP"
"GO:2000026",3.81142245824361e-08,1,288,1018,"regulation of multicellular organismal development","BP"
"GO:0031146",4.20987272061227e-08,0.999999989814686,38,66,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","BP"
"GO:0019439",4.3953598816706e-08,1,152,425,"aromatic compound catabolic process","BP"
"GO:0002376",4.74747387538013e-08,1,424,1549,"immune system process","BP"
"GO:0002478",4.84576153489326e-08,0.999999983056944,57,124,"antigen processing and presentation of exogenous peptide antigen","BP"
"GO:0005634",5.09227100901666e-08,1,1188,4892,"nucleus","CC"
"GO:0010565",5.16854952926551e-08,0.999999982726352,53,113,"regulation of cellular ketone metabolic process","BP"
"GO:0038061",5.76160245919335e-08,0.999999981844909,49,100,"NIK/NF-kappaB signaling","BP"
"GO:0043933",6.34605479867521e-08,1,419,1484,"macromolecular complex subunit organization","BP"
"GO:0009653",6.404397955455e-08,1,374,1414,"anatomical structure morphogenesis","BP"
"GO:0045786",6.60128247037789e-08,1,158,493,"negative regulation of cell cycle","BP"
"GO:0071826",7.60682833564254e-08,0.999999967239516,79,196,"ribonucleoprotein complex subunit organization","BP"
"GO:0060218",7.8148871461078e-08,0.999999976508497,48,88,"hematopoietic stem cell differentiation","BP"
"GO:0009888",7.83046499377966e-08,1,284,1021,"tissue development","BP"
"GO:0019882",8.10100927189401e-08,0.999999968543143,65,151,"antigen processing and presentation","BP"
"GO:0065007",8.11292583453782e-08,1,1543,6598,"biological regulation","BP"
"GO:0071456",8.79206009643902e-08,0.999999966567678,62,144,"cellular response to hypoxia","BP"
"GO:0031396",9.272262362733e-08,1,86,224,"regulation of protein ubiquitination","BP"
"GO:0031398",9.37216946739353e-08,0.999999963373105,65,152,"positive regulation of protein ubiquitination","BP"
"GO:1903706",1.00484445858937e-07,1,101,268,"regulation of hemopoiesis","BP"
"GO:0032269",1.04152008709089e-07,1,233,774,"negative regulation of cellular protein metabolic process","BP"
"GO:0010604",1.1594338085035e-07,1,507,1954,"positive regulation of macromolecule metabolic process","BP"
"GO:1903362",1.20585813336308e-07,1,89,236,"regulation of cellular protein catabolic process","BP"
"GO:0032543",1.2940455855485e-07,0.999999954603202,57,113,"mitochondrial translation","BP"
"GO:1902750",1.32934343396079e-07,0.999999961151927,43,82,"negative regulation of cell cycle G2/M phase transition","BP"
"GO:0019222",1.35326517728223e-07,1,1009,4153,"regulation of metabolic process","BP"
"GO:0043618",1.35810388561676e-07,0.999999956781518,47,96,"regulation of transcription from RNA polymerase II promoter in response to stress","BP"
"GO:0060255",1.63993563500316e-07,1,941,3855,"regulation of macromolecule metabolic process","BP"
"GO:0006414",1.81479294117687e-07,0.999999935327899,57,114,"translational elongation","BP"
"GO:0006810",1.89630253014788e-07,1,755,2985,"transport","BP"
"GO:0010948",1.92175585971753e-07,1,96,263,"negative regulation of cell cycle process","BP"
"GO:0033036",1.96359152188609e-07,1,534,2050,"macromolecule localization","BP"
"GO:0048002",2.09191239380795e-07,0.999999921371114,58,131,"antigen processing and presentation of peptide antigen","BP"
"GO:0071453",2.1139377172961e-07,0.99999991297491,67,164,"cellular response to oxygen levels","BP"
"GO:0036294",2.15406205221218e-07,0.999999914228459,63,151,"cellular response to decreased oxygen levels","BP"
"GO:0051173",2.22360708255067e-07,1,478,1850,"positive regulation of nitrogen compound metabolic process","BP"
"GO:0051234",2.2251767435234e-07,1,770,3054,"establishment of localization","BP"
"GO:0030198",2.39843752452148e-07,0.999999905964045,58,153,"extracellular matrix organization","BP"
"GO:0043062",2.39843752452148e-07,0.999999905964045,58,153,"extracellular structure organization","BP"
"GO:0050789",2.43877762462008e-07,1,1464,6253,"regulation of biological process","BP"
"GO:0019538",2.47286906004132e-07,1,893,3590,"protein metabolic process","BP"
"GO:0061418",2.59549496047852e-07,0.999999930578274,37,68,"regulation of transcription from RNA polymerase II promoter in response to hypoxia","BP"
"GO:0070727",2.87951130644784e-07,1,370,1349,"cellular macromolecule localization","BP"
"GO:1903050",2.97803450393075e-07,1,82,215,"regulation of proteolysis involved in cellular protein catabolic process","BP"
"GO:0022618",3.07192933431364e-07,0.999999865610454,74,185,"ribonucleoprotein complex assembly","BP"
"GO:0030162",3.1737339483983e-07,1,159,492,"regulation of proteolysis","BP"
"GO:0051239",3.43348436298784e-07,1,395,1492,"regulation of multicellular organismal process","BP"
"GO:0016072",3.46568523960038e-07,1,104,266,"rRNA metabolic process","BP"
"GO:0034613",3.69822335088945e-07,1,367,1340,"cellular protein localization","BP"
"GO:0006364",3.73386992890983e-07,1,96,237,"rRNA processing","BP"
"GO:1902494",3.79252243872866e-07,1,318,1117,"catalytic complex","CC"
"GO:0004298",4.06468892909847e-07,0.999999979782332,16,18,"threonine-type endopeptidase activity","MF"
"GO:0070003",4.06468892909847e-07,0.999999979782332,16,18,"threonine-type peptidase activity","MF"
"GO:0072594",4.07816270188082e-07,1,164,494,"establishment of protein localization to organelle","BP"
"GO:0003674",4.12813552497466e-07,1,2158,9543,"molecular_function","MF"
"GO:0044391",4.1409485654588e-07,0.999999818494626,81,168,"ribosomal subunit","CC"
"GO:1902036",4.21909396068174e-07,0.999999868672315,45,83,"regulation of hematopoietic stem cell differentiation","BP"
"GO:0044877",4.37419529050452e-07,1,191,648,"macromolecular complex binding","MF"
"GO:0090304",4.69700085394059e-07,0.999999792732897,884,3580,"nucleic acid metabolic process","BP"
"GO:0030155",4.77632066448847e-07,1,112,348,"regulation of cell adhesion","BP"
"GO:0043620",4.84966703398139e-07,0.999999834966262,47,100,"regulation of DNA-templated transcription in response to stress","BP"
"GO:0044106",4.94652893280547e-07,0.999999850611315,41,79,"cellular amine metabolic process","BP"
"GO:0001525",5.003330407595e-07,1,81,234,"angiogenesis","BP"
"GO:0045087",5.68082874179531e-07,1,146,455,"innate immune response","BP"
"GO:0044839",5.942099839505e-07,1,83,225,"cell cycle G2/M phase transition","BP"
"GO:1903364",6.0458589936744e-07,0.999999739440777,68,170,"positive regulation of cellular protein catabolic process","BP"
"GO:0042176",6.06384030914177e-07,1,109,317,"regulation of protein catabolic process","BP"
"GO:0010972",6.14010698485294e-07,0.999999811676436,41,80,"negative regulation of G2/M transition of mitotic cell cycle","BP"
"GO:0034330",6.62192182220177e-07,0.999999713282181,65,182,"cell junction organization","BP"
"GO:0044237",6.72452792273848e-07,0.99999970442171,1597,6786,"cellular metabolic process","BP"
"GO:1904874",7.14000612505588e-07,0.99999996782975,13,15,"positive regulation of telomerase RNA localization to Cajal body","BP"
"GO:0031323",7.44841070058364e-07,0.999999562719361,937,3876,"regulation of cellular metabolic process","BP"
"GO:0048514",8.05108823267843e-07,1,95,291,"blood vessel morphogenesis","BP"
"GO:0050840",8.27375660650888e-07,0.999999888075941,18,28,"extracellular matrix binding","MF"
"GO:1903052",8.40601995470672e-07,0.999999644823039,64,157,"positive regulation of proteolysis involved in cellular protein catabolic process","BP"
"GO:0005840",1.01148637946309e-06,1,90,205,"ribosome","CC"
"GO:0090263",1.03021481148254e-06,0.99999966236939,42,88,"positive regulation of canonical Wnt signaling pathway","BP"
"GO:1903322",1.07382969160974e-06,0.999999530918409,67,168,"positive regulation of protein modification by small protein conjugation or removal","BP"
"GO:0031983",1.15047499748433e-06,0.999999621474298,81,215,"vesicle lumen","CC"
"GO:0045089",1.17784923295199e-06,0.999999613294953,79,217,"positive regulation of innate immune response","BP"
"GO:0005604",1.28468265241463e-06,0.999999724180607,24,46,"basement membrane","CC"
"GO:1903320",1.28580412097132e-06,0.999999564226611,89,246,"regulation of protein modification by small protein conjugation or removal","BP"
"GO:0000313",1.29386074348262e-06,0.999999591110876,43,78,"organellar ribosome","CC"
"GO:0005761",1.29386074348262e-06,0.999999591110876,43,78,"mitochondrial ribosome","CC"
"GO:0098589",1.3499318717753e-06,0.999999553761879,78,230,"membrane region","CC"
"GO:0042273",1.37642895550719e-06,0.999999615534879,35,64,"ribosomal large subunit biogenesis","BP"
"GO:0009308",1.41228030120195e-06,0.999999545056737,41,82,"amine metabolic process","BP"
"GO:0006405",1.53928368719696e-06,0.999999402853961,51,125,"RNA export from nucleus","BP"
"GO:0034622",1.61332982452216e-06,0.999999347887528,235,774,"cellular macromolecular complex assembly","BP"
"GO:0048583",1.63060066333375e-06,0.999998949387828,564,2232,"regulation of response to stimulus","BP"
"GO:1901532",1.65092773796815e-06,0.999999432565767,46,90,"regulation of hematopoietic progenitor cell differentiation","BP"
"GO:0042180",1.6618879586658e-06,0.999999286272375,63,154,"cellular ketone metabolic process","BP"
"GO:0033365",1.70321765640584e-06,0.999999105462857,217,718,"protein localization to organelle","BP"
"GO:0006996",1.73009227231018e-06,0.999998873330451,673,2664,"organelle organization","BP"
"GO:0034774",1.90493915475964e-06,0.999999372307796,78,207,"secretory granule lumen","CC"
"GO:0019058",1.922621672374e-06,0.999999355030275,81,233,"viral life cycle","BP"
"GO:0060205",1.92520642695883e-06,0.999999360856334,80,214,"cytoplasmic vesicle lumen","CC"
"GO:0001568",2.11630166084619e-06,0.999999237746318,107,343,"blood vessel development","BP"
"GO:0022624",2.29456301425698e-06,0.999999737395669,17,23,"proteasome accessory complex","CC"
"GO:0005578",2.3143097073094e-06,0.999999127945134,46,116,"proteinaceous extracellular matrix","CC"
"GO:0030864",2.38440106988772e-06,0.999999512134541,22,41,"cortical actin cytoskeleton","CC"
"GO:0030863",2.44882802799792e-06,0.999999376270236,27,56,"cortical cytoskeleton","CC"
"GO:1901988",2.46076603558321e-06,0.99999884671637,73,190,"negative regulation of cell cycle phase transition","BP"
"GO:0098857",2.46944681007101e-06,0.999998905219955,62,172,"membrane microdomain","CC"
"GO:0016887",2.5558779053408e-06,0.999998818370822,103,325,"ATPase activity","MF"
"GO:0009059",2.79469437694748e-06,0.999997970835152,858,3473,"macromolecule biosynthetic process","BP"
"GO:0006259",2.8765286276033e-06,0.999998473002276,220,765,"DNA metabolic process","BP"
"GO:0006139",2.98636220736759e-06,0.999997769878942,980,3990,"nucleobase-containing compound metabolic process","BP"
"GO:0000086",3.00218031855559e-06,0.999998993699179,79,217,"G2/M transition of mitotic cell cycle","BP"
"GO:0044420",3.01602763459927e-06,0.999999190705521,28,60,"extracellular matrix component","CC"
"GO:0006807",3.07230485582242e-06,0.999997768422631,1491,6317,"nitrogen compound metabolic process","BP"
"GO:0044267",3.1251880321799e-06,0.999997678007532,837,3364,"cellular protein metabolic process","BP"
"GO:0065009",3.24143996731326e-06,0.999997794629773,500,1938,"regulation of molecular function","BP"
"GO:0005198",3.24217732975144e-06,0.999998412641402,138,398,"structural molecule activity","MF"
"GO:0030141",3.3706902225101e-06,0.99999832025712,146,465,"secretory granule","CC"
"GO:0008135",3.52164351770467e-06,0.99999889902281,35,74,"translation factor activity, RNA binding","MF"
"GO:0080090",3.58502124489635e-06,0.999997324229765,910,3777,"regulation of primary metabolic process","BP"
"GO:1901991",3.59525377926084e-06,0.999998311573872,71,185,"negative regulation of mitotic cell cycle phase transition","BP"
"GO:0007165",3.62658452236409e-06,0.999997316392084,743,3025,"signal transduction","BP"
"GO:0005839",3.62714296991069e-06,0.999999660493171,16,20,"proteasome core complex","CC"
"GO:0071704",3.65619968746817e-06,0.99999735646172,1594,6798,"organic substance metabolic process","BP"
"GO:0051726",3.66015858157702e-06,0.999997795915806,254,914,"regulation of cell cycle","BP"
"GO:0044271",3.67910048781249e-06,0.999997264069062,829,3322,"cellular nitrogen compound biosynthetic process","BP"
"GO:0000314",3.68557873108272e-06,0.999999495842965,19,26,"organellar small ribosomal subunit","CC"
"GO:0005763",3.68557873108272e-06,0.999999495842965,19,26,"mitochondrial small ribosomal subunit","CC"
"GO:0048584",3.77484916471538e-06,0.999997532923222,321,1186,"positive regulation of response to stimulus","BP"
"GO:0060337",3.84596650602872e-06,0.999998907308498,31,62,"type I interferon signaling pathway","BP"
"GO:0071357",3.84596650602872e-06,0.999998907308498,31,62,"cellular response to type I interferon","BP"
"GO:0097159",4.14402922452238e-06,0.999996847036019,972,4029,"organic cyclic compound binding","MF"
"GO:0030177",4.24636758813841e-06,0.999998372847975,47,109,"positive regulation of Wnt signaling pathway","BP"
"GO:0006955",4.36099285414704e-06,0.999997187086799,285,1017,"immune response","BP"
"GO:1901566",4.37084510733454e-06,0.999997102404554,369,1295,"organonitrogen compound biosynthetic process","BP"
"GO:0045121",4.47568898431991e-06,0.999997982693992,61,171,"membrane raft","CC"
"GO:0051641",5.16286645522805e-06,0.999996257129169,522,2018,"cellular localization","BP"
"GO:0031589",5.20708141787282e-06,0.99999756405739,65,189,"cell-substrate adhesion","BP"
"GO:0044249",5.43564612825906e-06,0.999995804938983,995,4072,"cellular biosynthetic process","BP"
"GO:1901360",5.71728848864298e-06,0.999995582429367,1029,4210,"organic cyclic compound metabolic process","BP"
"GO:0043624",5.84042840683836e-06,0.999997342592717,65,158,"cellular protein complex disassembly","BP"
"GO:1901576",5.91867940663318e-06,0.999995427542294,1007,4129,"organic substance biosynthetic process","BP"
"GO:0031349",5.92243725418874e-06,0.999997085869313,89,259,"positive regulation of defense response","BP"
"GO:0006725",6.00271193610724e-06,0.999995362873388,1001,4089,"cellular aromatic compound metabolic process","BP"
"GO:0005838",6.27458679586379e-06,0.999999334577757,15,20,"proteasome regulatory particle","CC"
"GO:1901363",6.30390773127059e-06,0.999995132309633,963,3997,"heterocyclic compound binding","MF"
"GO:0071426",6.30429080083542e-06,0.999997498786111,47,117,"ribonucleoprotein complex export from nucleus","BP"
"GO:0005685",6.35303963267485e-06,0.999999424975711,14,18,"U1 snRNP","CC"
"GO:1904869",6.53582778630142e-06,1,8,8,"regulation of protein localization to Cajal body","BP"
"GO:1904871",6.53582778630142e-06,1,8,8,"positive regulation of protein localization to Cajal body","BP"
"GO:0072359",6.73504213831913e-06,0.999995995061909,159,555,"circulatory system development","BP"
