"Gene","Direction","Count","Files"
"LOC388796","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"OAS1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"OASL","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"OPTN","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PDGFRL","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PLK2","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PLSCR1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PSMA4","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PSMB2","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PSMB8","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RARRES3","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RGS2","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"SNRPD1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"STAT1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"TM4SF1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"VMP1","UP",4,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ACLY","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"AHNAK2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"APOL1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ATF4","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ATP1A1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"BIRC3","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"BRIX1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"BST2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"C18orf21","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"C1QBP","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CASP4","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CCDC12","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CCDC58","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CCL5","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"CCNB1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CD38","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"CDC6","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CDK1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CEACAM1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"CENPN","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CFB","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"CKS1B","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CNTN1","DOWN",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"COL18A1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CPD","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CTNNBL1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CTSD","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CTSL1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"CXCL10","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"CXCL2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"DAG1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"DCTPP1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"DNM1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"DUSP1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ECE1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EEF1E1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EIF4A1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ELP5","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EMG1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ERH","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EXOSC3","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"EXOSC9","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"FABP5","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"FADS2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"FAM46A","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"FSCN1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"FST","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"FURIN","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"G6PD","DOWN",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"GALNT10","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"GBP1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"GEM","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"GNL2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"GPR56","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"GRN","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"GRPEL1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"H3F3B","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"HERC5","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"HHEX","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"HMGB2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"HNRPDL","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"IDO1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IER5","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFI27","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFI44","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFI6","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFIT2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFIT3","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFITM1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFITM2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFITM3","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IFNB1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IL28A","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IL28B","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IL29","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"IRF1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ISG15","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ISG20","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ITGA3","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"KTI12","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"LAMP3","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"LBH","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"LENG9","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"LOC152217","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"LYAR","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MAD2L1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MAGOHB","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MALAT1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MALL","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MAP1B","DOWN",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"MAPK1IP1L","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MASTL","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"MED19","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"METTL1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MFGE8","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MRPL16","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"MRPL17","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MRPL32","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MRPL44","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MRPL46","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MRPS28","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"MX1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"MYO18A","DOWN",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_GFP+polyIC"
"NCOR2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"NDUFAB1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"NDUFV2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"NGDN","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"NIP7","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"NOP10","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"NOP16","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"OAS2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ORC6","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PELO","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PFDN2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PHB2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PHLDA1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PLBD2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PLEKHA4","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PMAIP1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PMEPA1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PNO1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"POLR2H","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PPA1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PPP1R15A","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PSMA3","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PSMB10","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PSMB9","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PSME1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PSME2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"PSMG2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PTCD3","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PTGS2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PXN","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"QSOX1","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RAD51","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RFC2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RFC3","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RPL37","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RPL9","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RPS14","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RRM2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RSAD2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"RSL1D1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"SCD","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"SNRPA","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"SNRPE","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"SNRPF","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"SNW1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_GFP+polyIC"
"SREBF2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"SSBP1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"STAMBPL1","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"TAGLN2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"TAP1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"TAP2","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"TDRD7","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"TEAD4","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"TIMP2","DOWN",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"TNFAIP3","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"TNFSF10","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"TRIM22","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"TYMP","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"UBD","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"UBE2C","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"UBE2L6","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"UBE2T","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"USP18","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"UTP14A","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"VDAC2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"WARS","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"XAF1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"YTHDF2","UP",3,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ZC3HAV1","UP",3,"GFP+polyIC_vs_GFP,NS5_vs_GFP,NS5+polyIC_vs_NS5"
"ARL1","UP",3,"NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"HSPA1A","DOWN",3,"NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"PLA2G16","UP",3,"NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RPL11","UP",3,"NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"RPL22","UP",3,"NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"UQCRQ","UP",3,"NS5_vs_GFP,NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ABCC3","DOWN",2,"GFP+polyIC_vs_GFP,NS5_vs_GFP"
"ABCG2","UP",2,"NS5+polyIC_vs_NS5,NS5+polyIC_vs_GFP+polyIC"
"ACO1","DOWN",2,"GFP+polyIC_vs_GFP,NS5_vs_GFP"
"ACSL4","DOWN",2,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5"
"ACTR2","DOWN",2,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5"
"ADAM9","DOWN",2,"GFP+polyIC_vs_GFP,NS5+polyIC_vs_NS5"
