"ontology","term","count"
"BP","regulation of nitrogen compound metabolic process",4
"BP","regulation of primary metabolic process",4
"BP","regulation of protein metabolic process",4
"BP","regulation of protein modification process",4
"BP","regulation of proteolysis",4
"BP","regulation of response to stimulus",4
"BP","regulation of response to stress",4
"BP","regulation of signal transduction",4
"BP","regulation of stem cell differentiation",4
"BP","regulation of transferase activity",4
"BP","regulation of viral life cycle",4
"BP","response to abiotic stimulus",4
"BP","response to chemical",4
"BP","response to cytokine",4
"BP","response to decreased oxygen levels",4
"BP","response to endogenous stimulus",4
"BP","response to hypoxia",4
"BP","response to organic cyclic compound",4
"BP","response to organic substance",4
"BP","response to stimulus",4
"BP","response to stress",4
"BP","response to tumor necrosis factor",4
"BP","signal transduction",4
"BP","signaling",4
"BP","symbiosis, encompassing mutualism through parasitism",4
"BP","system development",4
"BP","tissue development",4
"BP","transcription from RNA polymerase II promoter",4
"BP","tumor necrosis factor-mediated signaling pathway",4
"BP","viral life cycle",4
"BP","viral process",4
"CC","cell-substrate adherens junction",4
"CC","cell-substrate junction",4
"CC","cytoplasmic vesicle lumen",4
"CC","cytoplasmic vesicle part",4
"CC","cytosol",4
"CC","extracellular exosome",4
"CC","extracellular matrix",4
"CC","extracellular organelle",4
"CC","extracellular region",4
"CC","extracellular region part",4
"CC","extracellular space",4
"CC","extracellular vesicle",4
"CC","ficolin-1-rich granule",4
"CC","ficolin-1-rich granule lumen",4
"CC","focal adhesion",4
"CC","intracellular organelle lumen",4
"CC","membrane-enclosed lumen",4
"CC","myelin sheath",4
"CC","nuclear lumen",4
"CC","nuclear part",4
"CC","nucleoplasm",4
"CC","nucleus",4
"CC","organelle lumen",4
"CC","secretory granule",4
"CC","secretory granule lumen",4
"CC","secretory vesicle",4
"CC","vesicle",4
"CC","vesicle lumen",4
"MF","binding",4
"MF","heterocyclic compound binding",4
"MF","molecular_function",4
"MF","organic cyclic compound binding",4
"MF","protein binding",4
"MF","RNA binding",4
"BP","antigen processing and presentation of peptide antigen",3
"BP","apoptotic process",3
"BP","aromatic compound biosynthetic process",3
"BP","aromatic compound catabolic process",3
"BP","biological_process",3
"BP","blood vessel development",3
"BP","blood vessel morphogenesis",3
"BP","cardiovascular system development",3
"BP","cell migration",3
"BP","cell motility",3
"BP","cellular component organization",3
"BP","cellular component organization or biogenesis",3
"BP","cellular macromolecular complex assembly",3
"BP","cellular macromolecule biosynthetic process",3
"BP","cellular macromolecule catabolic process",3
"BP","cellular macromolecule metabolic process",3
"BP","cellular metabolic process",3
"BP","cellular nitrogen compound biosynthetic process",3
"BP","cellular nitrogen compound metabolic process",3
"BP","cellular response to heat",3
"BP","cellular response to lipid",3
"BP","cellular response to oxygen levels",3
"BP","cellular response to type I interferon",3
"BP","chaperone-mediated protein folding",3
"BP","circulatory system development",3
"BP","defense response to virus",3
"BP","entry into cell of other organism involved in symbiotic interaction",3
"BP","entry into host",3
"BP","entry into host cell",3
"BP","entry into other organism involved in symbiotic interaction",3
"BP","epithelial cell differentiation",3
"BP","establishment of localization",3
"BP","establishment of protein localization to organelle",3
"BP","exocytosis",3
"BP","hematopoietic progenitor cell differentiation",3
"BP","hematopoietic stem cell differentiation",3
"BP","heterocycle biosynthetic process",3
"BP","immune response-regulating signaling pathway",3
"BP","interaction with host",3
"BP","intracellular signal transduction",3
"BP","localization of cell",3
"BP","locomotion",3
"BP","macromolecular complex assembly",3
"BP","macromolecular complex subunit organization",3
"BP","macromolecule catabolic process",3
"BP","macromolecule metabolic process",3
"BP","MAPK cascade",3
"BP","morphogenesis of an epithelium",3
"BP","mRNA metabolic process",3
"BP","negative regulation of apoptotic process",3
"BP","negative regulation of biosynthetic process",3
"BP","negative regulation of cell death",3
"BP","negative regulation of cellular biosynthetic process",3
"BP","negative regulation of cellular macromolecule biosynthetic process",3
"BP","negative regulation of endopeptidase activity",3
"BP","negative regulation of extrinsic apoptotic signaling pathway",3
"BP","negative regulation of macromolecule biosynthetic process",3
"BP","negative regulation of multicellular organismal process",3
"BP","negative regulation of nucleic acid-templated transcription",3
"BP","negative regulation of nucleobase-containing compound metabolic process",3
"BP","negative regulation of peptidase activity",3
"BP","negative regulation of programmed cell death",3
"BP","negative regulation of proteolysis",3
"BP","negative regulation of RNA biosynthetic process",3
"BP","negative regulation of RNA metabolic process",3
"BP","negative regulation of transcription, DNA-templated",3
"BP","negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",3
"BP","negative regulation of ubiquitin-protein transferase activity",3
"BP","negative regulation of viral genome replication",3
"BP","nucleobase-containing compound biosynthetic process",3
"BP","organic cyclic compound biosynthetic process",3
"BP","organic cyclic compound catabolic process",3
"BP","pattern recognition receptor signaling pathway",3
"BP","positive regulation of cell adhesion",3
"BP","positive regulation of cell migration",3
"BP","positive regulation of cell motility",3
"BP","positive regulation of cellular component movement",3
"BP","positive regulation of cellular protein catabolic process",3
"BP","positive regulation of chemotaxis",3
"BP","positive regulation of developmental process",3
"BP","positive regulation of locomotion",3
"BP","positive regulation of multicellular organismal process",3
"BP","positive regulation of proteolysis involved in cellular protein catabolic process",3
"BP","positive regulation of RNA metabolic process",3
"BP","positive regulation of transferase activity",3
"BP","positive regulation of ubiquitin protein ligase activity",3
"BP","posttranscriptional regulation of gene expression",3
"BP","programmed cell death",3
"BP","protein folding",3
"BP","protein localization to organelle",3
"BP","protein metabolic process",3
"BP","protein phosphorylation",3
"BP","protein stabilization",3
"BP","proteolysis",3
"BP","regulation of apoptotic process",3
"BP","regulation of biosynthetic process",3
"BP","regulation of cell communication",3
"BP","regulation of cell cycle",3
"BP","regulation of cell death",3
"BP","regulation of cell migration",3
"BP","regulation of cell motility",3
"BP","regulation of cellular amino acid metabolic process",3
"BP","regulation of cellular biosynthetic process",3
"BP","regulation of cellular component movement",3
"BP","regulation of cellular ketone metabolic process",3
"BP","regulation of cellular macromolecule biosynthetic process",3
"BP","regulation of cellular protein catabolic process",3
"BP","regulation of cellular protein localization",3
"BP","regulation of defense response",3
"BP","regulation of DNA-templated transcription in response to stress",3
"BP","regulation of extrinsic apoptotic signaling pathway",3
"BP","regulation of gene expression",3
"BP","regulation of hematopoietic progenitor cell differentiation",3
"BP","regulation of hematopoietic stem cell differentiation",3
"BP","regulation of immune response",3
"BP","regulation of intracellular signal transduction",3
"BP","regulation of locomotion",3
"BP","regulation of macromolecule biosynthetic process",3
"BP","regulation of mRNA stability",3
"BP","regulation of nucleic acid-templated transcription",3
"BP","regulation of nucleobase-containing compound metabolic process",3
"BP","regulation of phospholipase activity",3
"BP","regulation of programmed cell death",3
"BP","regulation of protein catabolic process",3
"BP","regulation of protein modification by small protein conjugation or removal",3
"BP","regulation of protein ubiquitination",3
"BP","regulation of proteolysis involved in cellular protein catabolic process",3
"BP","regulation of RNA biosynthetic process",3
"BP","regulation of RNA metabolic process",3
"BP","regulation of signaling",3
"BP","regulation of transcription from RNA polymerase II promoter",3
"BP","regulation of transcription from RNA polymerase II promoter in response to hypoxia",3
"BP","regulation of transcription from RNA polymerase II promoter in response to stress",3
"BP","regulation of transcription, DNA-templated",3
"BP","regulation of wound healing",3
"BP","reproduction",3
"BP","reproductive process",3
"BP","response to biotic stimulus",3
"BP","response to external biotic stimulus",3
"BP","response to external stimulus",3
"BP","response to heat",3
"BP","response to hormone",3
"BP","response to lipid",3
"BP","response to other organism",3
"BP","response to oxygen levels",3
"BP","response to steroid hormone",3
"BP","response to topologically incorrect protein",3
"BP","response to type I interferon",3
"BP","response to unfolded protein",3
"BP","response to virus",3
"BP","RNA metabolic process",3
"BP","secretion",3
"BP","secretion by cell",3
"BP","signal transduction by protein phosphorylation",3
"BP","stem cell differentiation",3
"BP","tissue morphogenesis",3
"BP","transport",3
"BP","type I interferon signaling pathway",3
"BP","vasculature development",3
"BP","vesicle-mediated transport",3
"BP","viral entry into host cell",3
"CC","adherens junction",3
"CC","anchoring junction",3
"CC","blood microparticle",3
"CC","cell junction",3
"CC","cell surface",3
"CC","chromosomal part",3
"CC","chromosome",3
"CC","cytoplasm",3
"CC","cytoplasmic part",3
"CC","cytoplasmic vesicle",3
"CC","intracellular membrane-bounded organelle",3
"CC","intracellular organelle",3
"CC","intracellular organelle part",3
"CC","intracellular vesicle",3
"CC","membrane-bounded organelle",3
"CC","organelle",3
"CC","organelle part",3
"CC","perinuclear region of cytoplasm",3
"CC","proteasome core complex",3
"MF","carbohydrate derivative binding",3
"MF","cell adhesion molecule binding",3
"MF","enzyme binding",3
"MF","identical protein binding",3
"MF","kinase binding",3
"MF","macromolecular complex binding",3
"MF","nucleic acid binding",3
"MF","protein binding involved in protein folding",3
"MF","protein complex binding",3
"MF","receptor binding",3
"MF","threonine-type endopeptidase activity",3
"MF","threonine-type peptidase activity",3
"MF","transcription factor binding",3
"MF","unfolded protein binding",3
"BP","'de novo' protein folding",2
"BP","adaptive immune response",2
"BP","adherens junction organization",2
"BP","aging",2
"BP","amide biosynthetic process",2
"BP","amine metabolic process",2
"BP","anaphase-promoting complex-dependent catabolic process",2
"BP","anatomical structure formation involved in morphogenesis",2
"BP","animal organ morphogenesis",2
"BP","antigen processing and presentation of exogenous antigen",2
"BP","antigen processing and presentation of exogenous peptide antigen",2
"BP","antigen receptor-mediated signaling pathway",2
"BP","apoptotic signaling pathway",2
"BP","biological adhesion",2
"BP","carboxylic acid metabolic process",2
"BP","cell adhesion",2
"BP","cell cycle",2
"BP","cell cycle G1/S phase transition",2
"BP","cell cycle G2/M phase transition",2
"BP","cell cycle phase transition",2
"BP","cell cycle process",2
"BP","cell development",2
"BP","cell-cell adhesion",2
"BP","cell-matrix adhesion",2
"BP","cell-substrate adhesion",2
"BP","cellular aldehyde metabolic process",2
"BP","cellular amide metabolic process",2
"BP","cellular amine metabolic process",2
"BP","cellular component assembly",2
"BP","cellular component biogenesis",2
"BP","cellular component disassembly",2
"BP","cellular localization",2
"BP","cellular macromolecule localization",2
"BP","cellular nitrogen compound catabolic process",2
"BP","cellular protein catabolic process",2
"BP","cellular protein complex disassembly",2
"BP","cellular protein localization",2
"BP","cellular protein metabolic process",2
"BP","cellular response to endogenous stimulus",2
"BP","cellular response to external stimulus",2
"BP","cellular response to extracellular stimulus",2
"BP","cellular response to interferon-gamma",2
"BP","cellular response to lipopolysaccharide",2
"BP","cellular response to molecule of bacterial origin",2
"BP","cellular response to oxidative stress",2
"BP","chaperone-mediated protein complex assembly",2
"BP","chromatin assembly",2
"BP","chromatin assembly or disassembly",2
"BP","chromatin silencing",2
"BP","chromosome organization",2
"BP","cytokine production",2
"BP","defense response to other organism",2
"BP","DNA conformation change",2
"BP","DNA metabolic process",2
"BP","DNA packaging",2
"BP","DNA-templated transcription, termination",2
"BP","endothelial cell apoptotic process",2
"BP","epidermis development",2
"BP","epithelial cell apoptotic process",2
"BP","establishment of localization in cell",2
"BP","establishment of planar polarity",2
"BP","establishment of RNA localization",2
"BP","establishment of tissue polarity",2
"BP","extracellular matrix disassembly",2
"BP","extracellular matrix organization",2
"BP","extracellular structure organization",2
"BP","extrinsic apoptotic signaling pathway",2
"BP","Fc receptor signaling pathway",2
"BP","Fc-epsilon receptor signaling pathway",2
"BP","female pregnancy",2
"BP","G1/S transition of mitotic cell cycle",2
"BP","G2/M transition of mitotic cell cycle",2
"BP","gland development",2
"BP","gland morphogenesis",2
"BP","heterocycle catabolic process",2
"BP","homeostasis of number of cells",2
"BP","I-kappaB kinase/NF-kappaB signaling",2
"BP","immune response-activating cell surface receptor signaling pathway",2
"BP","immune response-regulating cell surface receptor signaling pathway",2
"BP","inflammatory response",2
"BP","innate immune response activating cell surface receptor signaling pathway",2
"BP","interferon-gamma-mediated signaling pathway",2
"BP","intracellular protein transport",2
"BP","intracellular transport",2
"BP","intrinsic apoptotic signaling pathway",2
"BP","keratinocyte differentiation",2
"BP","lipid localization",2
"BP","macromolecular complex disassembly",2
"BP","macromolecule biosynthetic process",2
"BP","macromolecule localization",2
"BP","mammary gland epithelium development",2
"BP","MHC class I biosynthetic process",2
"BP","mitochondrial gene expression",2
"BP","mitochondrial translation",2
"BP","mitochondrial translational elongation",2
"BP","mitochondrial translational termination",2
"BP","mitotic cell cycle",2
"BP","mitotic cell cycle phase transition",2
"BP","mitotic cell cycle process",2
"BP","modification-dependent macromolecule catabolic process",2
"BP","modification-dependent protein catabolic process",2
"BP","morphogenesis of a polarized epithelium",2
"BP","movement of cell or subcellular component",2
"BP","mRNA 3'-end processing",2
"BP","mRNA catabolic process",2
"BP","mRNA export from nucleus",2
"BP","mRNA processing",2
"BP","mRNA splicing, via spliceosome",2
"BP","mRNA transport",2
"BP","mRNA-containing ribonucleoprotein complex export from nucleus",2
"BP","multi-multicellular organism process",2
"BP","multicellular organismal macromolecule metabolic process",2
"BP","muscle cell differentiation",2
"BP","myeloid cell differentiation",2
"BP","ncRNA metabolic process",2
"BP","ncRNA processing",2
"BP","negative regulation of apoptotic signaling pathway",2
"BP","negative regulation of canonical Wnt signaling pathway",2
"BP","negative regulation of cell cycle",2
"BP","negative regulation of cell cycle G2/M phase transition",2
"BP","negative regulation of cell cycle phase transition",2
"BP","negative regulation of cell cycle process",2
"BP","negative regulation of cell differentiation",2
"BP","negative regulation of cell proliferation",2
"BP","negative regulation of cysteine-type endopeptidase activity",2
"BP","negative regulation of cytokine production",2
"BP","negative regulation of developmental process",2
"BP","negative regulation of endothelial cell apoptotic process",2
"BP","negative regulation of epithelial cell apoptotic process",2
"BP","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors",2
"BP","negative regulation of G2/M transition of mitotic cell cycle",2
"BP","negative regulation of gene expression, epigenetic",2
"BP","negative regulation of hydrolase activity",2
"BP","negative regulation of immune response",2
"BP","negative regulation of innate immune response",2
"BP","negative regulation of locomotion",2
"BP","negative regulation of mitotic cell cycle",2
"BP","negative regulation of mitotic cell cycle phase transition",2
"BP","negative regulation of multi-organism process",2
"BP","negative regulation of transcription from RNA polymerase II promoter",2
"BP","negative regulation of type I interferon production",2
"BP","negative regulation of ubiquitin protein ligase activity",2
"BP","negative regulation of viral entry into host cell",2
"BP","negative regulation of viral life cycle",2
"BP","negative regulation of viral process",2
"BP","negative regulation of Wnt signaling pathway",2
"BP","nuclear export",2
"BP","nuclear transport",2
"BP","nuclear-transcribed mRNA catabolic process",2
"BP","nucleic acid transport",2
"BP","nucleic acid-templated transcription",2
"BP","nucleobase-containing compound catabolic process",2
"BP","nucleobase-containing compound transport",2
"BP","nucleocytoplasmic transport",2
"BP","nucleosome assembly",2
"BP","nucleosome organization",2
"BP","organelle organization",2
"BP","organic acid metabolic process",2
"BP","organonitrogen compound biosynthetic process",2
"BP","organonitrogen compound catabolic process",2
"BP","ossification",2
"BP","oxoacid metabolic process",2
"BP","peptide biosynthetic process",2
"BP","peptide metabolic process",2
"BP","phosphate-containing compound metabolic process",2
"BP","phosphorus metabolic process",2
"BP","phosphorylation",2
"BP","positive regulation of angiogenesis",2
"BP","positive regulation of apoptotic process",2
"BP","positive regulation of blood circulation",2
"BP","positive regulation of canonical Wnt signaling pathway",2
"BP","positive regulation of cell death",2
"BP","positive regulation of cell differentiation",2
"BP","positive regulation of cellular protein localization",2
"BP","positive regulation of cytokine production",2
"BP","positive regulation of defense response to virus by host",2
"BP","positive regulation of DNA binding transcription factor activity",2
"BP","positive regulation of DNA biosynthetic process",2
"BP","positive regulation of establishment of protein localization to telomere",2
"BP","positive regulation of I-kappaB kinase/NF-kappaB signaling",2
"BP","positive regulation of inflammatory response",2
"BP","positive regulation of intracellular signal transduction",2
"BP","positive regulation of leukocyte chemotaxis",2
"BP","positive regulation of leukocyte migration",2
"BP","positive regulation of NF-kappaB transcription factor activity",2
"BP","positive regulation of nucleic acid-templated transcription",2
"BP","positive regulation of organelle organization",2
"BP","positive regulation of peptidyl-tyrosine phosphorylation",2
"BP","positive regulation of phosphate metabolic process",2
"BP","positive regulation of phosphorus metabolic process",2
"BP","positive regulation of programmed cell death",2
"BP","positive regulation of protein catabolic process",2
"BP","positive regulation of protein localization to Cajal body",2
"BP","positive regulation of protein localization to chromosome, telomeric region",2
"BP","positive regulation of protein modification by small protein conjugation or removal",2
"BP","positive regulation of protein phosphorylation",2
"BP","positive regulation of protein ubiquitination",2
"BP","positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",2
"BP","positive regulation of response to cytokine stimulus",2
"BP","positive regulation of response to external stimulus",2
"BP","positive regulation of RNA biosynthetic process",2
"BP","positive regulation of telomerase RNA localization to Cajal body",2
"BP","positive regulation of transcription from RNA polymerase II promoter",2
"BP","positive regulation of transcription, DNA-templated",2
"BP","positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition",2
"BP","positive regulation of ubiquitin-protein transferase activity",2
"BP","positive regulation of vasculature development",2
"BP","positive regulation of Wnt signaling pathway",2
"BP","post-translational protein modification",2
"BP","protein activation cascade",2
"BP","protein catabolic process",2
"BP","protein complex assembly",2
"BP","protein complex biogenesis",2
"BP","protein complex disassembly",2
"BP","protein complex subunit organization",2
"BP","protein deubiquitination",2
"BP","protein export from nucleus",2
"BP","protein localization",2
"BP","protein localization to Cajal body",2
"BP","protein localization to nuclear body",2
"BP","protein localization to nucleoplasm",2
"BP","protein localization to nucleus",2
"BP","protein modification by small protein removal",2
"BP","protein processing",2
"BP","protein refolding",2
"BP","protein targeting",2
"BP","protein ubiquitination involved in ubiquitin-dependent protein catabolic process",2
"BP","protein-DNA complex assembly",2
"BP","proteolysis involved in cellular protein catabolic process",2
"BP","regulation of angiogenesis",2
"BP","regulation of apoptotic signaling pathway",2
"BP","regulation of cell adhesion",2
"BP","regulation of cell cycle G2/M phase transition",2
"BP","regulation of cell cycle phase transition",2
"BP","regulation of cell cycle process",2
"BP","regulation of cell development",2
"BP","regulation of cell growth",2
"BP","regulation of cell-cell adhesion",2
"BP","regulation of cellular amide metabolic process",2
"BP","regulation of cellular amine metabolic process",2
"BP","regulation of cysteine-type endopeptidase activity",2
"BP","regulation of cytokine production",2
"BP","regulation of cytokine-mediated signaling pathway",2
"BP","regulation of defense response to virus",2
"BP","regulation of defense response to virus by host",2
"BP","regulation of DNA binding transcription factor activity",2
"BP","regulation of DNA biosynthetic process",2
"BP","regulation of endopeptidase activity",2
"BP","regulation of endothelial cell apoptotic process",2
"BP","regulation of epithelial cell apoptotic process",2
"BP","regulation of establishment of planar polarity",2
"BP","regulation of establishment of protein localization",2
"BP","regulation of establishment of protein localization to chromosome",2
"BP","regulation of establishment of protein localization to telomere",2
"BP","regulation of extrinsic apoptotic signaling pathway via death domain receptors",2
"BP","regulation of G2/M transition of mitotic cell cycle",2
"BP","regulation of growth",2
"BP","regulation of I-kappaB kinase/NF-kappaB signaling",2
"BP","regulation of immune effector process",2
"BP","regulation of inflammatory response",2
"BP","regulation of interleukin-1 production",2
"BP","regulation of localization",2
"BP","regulation of macrophage apoptotic process",2
"BP","regulation of MHC class I biosynthetic process",2
"BP","regulation of mitotic cell cycle",2
"BP","regulation of mitotic cell cycle phase transition",2
"BP","regulation of morphogenesis of an epithelium",2
"BP","regulation of mRNA processing",2
"BP","regulation of mRNA splicing, via spliceosome",2
"BP","regulation of multi-organism process",2
"BP","regulation of nucleotide-binding oligomerization domain containing signaling pathway",2
"BP","regulation of organ morphogenesis",2
"BP","regulation of organelle organization",2
"BP","regulation of peptidase activity",2
"BP","regulation of peptide transport",2
"BP","regulation of phosphate metabolic process",2
"BP","regulation of phosphorus metabolic process",2
"BP","regulation of phosphorylation",2
"BP","regulation of proteasomal protein catabolic process",2
"BP","regulation of protein localization",2
"BP","regulation of protein localization to Cajal body",2
"BP","regulation of protein localization to chromosome, telomeric region",2
"BP","regulation of protein maturation",2
"BP","regulation of protein phosphorylation",2
"BP","regulation of protein processing",2
"BP","regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process",2
"BP","regulation of receptor activity",2
"BP","regulation of response to biotic stimulus",2
"BP","regulation of response to cytokine stimulus",2
"BP","regulation of response to external stimulus",2
"BP","regulation of response to wounding",2
"BP","regulation of RNA splicing",2
"BP","regulation of RNA stability",2
"BP","regulation of symbiosis, encompassing mutualism through parasitism",2
"BP","regulation of telomerase RNA localization to Cajal body",2
"BP","regulation of translation",2
"BP","regulation of transport",2
"BP","regulation of type I interferon production",2
"BP","regulation of ubiquitin protein ligase activity",2
"BP","regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle",2
"BP","regulation of ubiquitin-protein transferase activity",2
"BP","regulation of vasculature development",2
"BP","regulation of viral entry into host cell",2
"BP","regulation of viral genome replication",2
"BP","regulation of viral process",2
"BP","regulation of Wnt signaling pathway",2
"BP","response to bacterium",2
"BP","response to corticosteroid",2
"BP","response to endoplasmic reticulum stress",2
"BP","response to extracellular stimulus",2
"BP","response to glucocorticoid",2
"BP","response to inorganic substance",2
"BP","response to interferon-alpha",2
"BP","response to interferon-beta",2
"BP","response to interferon-gamma",2
"BP","response to lipopolysaccharide",2
"BP","response to molecule of bacterial origin",2
"BP","response to nitrogen compound",2
"BP","response to nutrient levels",2
"BP","response to organonitrogen compound",2
"BP","response to organophosphorus",2
"BP","response to oxidative stress",2
"BP","response to oxygen-containing compound",2
"BP","response to reactive oxygen species",2
"BP","response to temperature stimulus",2
"BP","response to wounding",2
"BP","ribonucleoprotein complex assembly",2
"BP","ribonucleoprotein complex biogenesis",2
"BP","ribonucleoprotein complex export from nucleus",2
"BP","ribonucleoprotein complex localization",2
"BP","ribonucleoprotein complex subunit organization",2
"BP","ribosomal large subunit biogenesis",2
"BP","ribosomal small subunit export from nucleus",2
"BP","ribosomal subunit export from nucleus",2
"BP","ribosome biogenesis",2
"BP","ribosome localization",2
"BP","RNA 3'-end processing",2
"BP","RNA biosynthetic process",2
"BP","RNA catabolic process",2
"BP","RNA export from nucleus",2
"BP","RNA localization",2
"BP","RNA localization to Cajal body",2
"BP","RNA localization to nucleus",2
"BP","RNA processing",2
"BP","RNA secondary structure unwinding",2
"BP","RNA splicing",2
"BP","RNA splicing, via transesterification reactions",2
"BP","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",2
"BP","RNA transport",2
"BP","rRNA metabolic process",2
"BP","rRNA processing",2
"BP","rRNA-containing ribonucleoprotein complex export from nucleus",2
"BP","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",2
"BP","sister chromatid segregation",2
"BP","stimulatory C-type lectin receptor signaling pathway",2
"BP","T cell receptor signaling pathway",2
"BP","telomerase RNA localization",2
"BP","telomerase RNA localization to Cajal body",2
"BP","termination of RNA polymerase II transcription",2
