"","Gene","Target","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21","COSMIC_CGC_FLAG","NCBI_NAME","HGNC_SYMBOL_ACC","ENTREZ_GENE_ID","U133PLUS2_PSID","MIM_MORBID_DESCRIPTION"
"ABHD11","ABHD11","AMPL35722665",37,48,37,36,42,35,46,41,0,"abhydrolase_domain_containing_11","16407","83451","1552470_a_at,1552800_at,221927_s_at","."
"ABHD12","ABHD12","AMPL32297518",314,321,267,282,307,342,257,285,0,"abhydrolase_domain_containing_12","15868","26090","224742_at,228123_s_at,228124_at","POLYNEUROPATHY__HEARING_LOSS__ATAXIA__RETINITIS_PIGMENTOSA__AND_CATARACT_"
"ABHD13","ABHD13","AMPL16027178",36,42,27,22,24,23,21,19,0,"abhydrolase_domain_containing_13","20293","84945","234993_at,235348_at","."
"ABHD14A","ABHD14A","AMPL25862037",21,11,18,10,12,15,13,14,0,"abhydrolase_domain_containing_14A","24538","25864","210006_at","."
"ABHD14B","ABHD14B","AMPL6719779",50,78,41,27,57,52,40,57,0,"abhydrolase_domain_containing_14B","28235","84836","224821_at","."
"ABHD15","ABHD15","AMPL20585213",80,89,49,52,67,72,45,43,0,"abhydrolase_domain_containing_15","26971","116236","226796_at","."
"ABHD16A","ABHD16A","AMPL36420922",52,63,50,24,73,74,89,57,0,"abhydrolase_domain_containing_16A","13921","7920","224756_s_at,230221_at","."
"ABHD16B","ABHD16B","AMPL17532477",14,14,14,21,10,9,18,14,0,"abhydrolase_domain_containing_16B","16128","140701","234002_at","."
"ABHD2","ABHD2","AMPL17078991",443,380,426,321,465,447,254,275,0,"abhydrolase_domain_containing_2","18717","11057","205566_at,221815_at,225337_at,228490_at,63825_at,87100_at","."
"ABHD3","ABHD3","AMPL17297898",146,171,118,102,118,90,111,168,0,"abhydrolase_domain_containing_3","18718","171586","213017_at","."
"ABHD4","ABHD4","AMPL37127761",411,442,348,288,469,404,277,285,0,"abhydrolase_domain_containing_4","20154","63874","218581_at,242023_at","."
"ABHD5","ABHD5","AMPL33305114",95,94,96,72,95,96,139,140,0,"abhydrolase_domain_containing_5","21396","51099","218739_at","CHANARIN-DORFMAN_SYNDROME__CDS"
"ABHD6","ABHD6","AMPL32219778",43,60,62,56,55,51,49,41,0,"abhydrolase_domain_containing_6","21398","57406","221552_at,221679_s_at,45288_at","."
"ABHD8","ABHD8","AMPL37207261",27,32,22,20,38,19,14,20,0,"abhydrolase_domain_containing_8","23759","79575","219101_x_at","."
"ABI1","ABI1","AMPL983412",402,488,294,242,535,492,425,395,1,"abl-interactor_1","11320","10006","209027_s_at,209028_s_at","."
"ABI2","ABI2","AMPL27003455",148,139,134,116,178,173,132,131,0,"abl-interactor_2","24011","10152","207268_x_at,209856_x_at,211793_s_at,225098_at,225112_at,231075_x_at","."
"ABL1","ABL1","AMPL28966626",359,355,479,489,431,398,259,319,1,"c-abl_oncogene_1__non-receptor_tyrosine_kinase","76","25","202123_s_at","LEUKEMIA__CHRONIC_MYELOID__CML"
"ABL2","ABL2","AMPL27388698",77,71,142,159,116,127,91,100,1,"c-abl_oncogene_2__non-receptor_tyrosine_kinase","77","27","206411_s_at,226893_at,231907_at","."
"ABLIM1","ABLIM1","AMPL8365011",47,47,25,20,42,55,19,20,0,"actin_binding_LIM_protein_1","78","3983","200965_s_at,210461_s_at","."
"ABT1","ABT1","AMPL13223807",134,139,150,173,136,115,174,164,0,"activator_of_basal_transcription_1","17369","29777","218405_at","."
"ABTB1","ABTB1","AMPL16445718",49,63,43,35,47,54,23,27,0,"ankyrin_repeat_and_BTB__POZ__domain_containing_1","18275","80325","226442_at,228848_at,229164_s_at,242567_at","."
"ABTB2","ABTB2","AMPL34779187",101,125,167,132,139,120,89,119,0,"ankyrin_repeat_and_BTB__POZ__domain_containing_2","23842","25841","213497_at,232624_at","."
"ACAA1","ACAA1","AMPL9520710",125,140,143,113,130,107,136,160,0,"acetyl-CoA_acyltransferase_1","82","30","202025_x_at,214274_s_at","."
"ACAA2","ACAA2","AMPL27900686",336,336,249,198,318,300,294,299,0,"acetyl-CoA_acyltransferase_2","83","10449","202002_at,202003_s_at","."
"ACACA","ACACA","AMPL22279197",321,293,237,204,262,256,170,202,0,"acetyl-CoA_carboxylase_alpha","84","31","212186_at,214358_at","ACETYL-CoA_CARBOXYLASE_DEFICIENCY__ACACAD"
"ACACB","ACACB","AMPL4793463",83,106,81,65,113,117,60,50,0,"acetyl-CoA_carboxylase_beta","85","32","1552615_at,1552616_a_at,214584_x_at,221928_at,43427_at,49452_at","."
"ACAD10","ACAD10","AMPL1491619",69,61,37,31,60,52,24,39,0,"acyl-CoA_dehydrogenase_family__member_10","21597","80724","219986_s_at,237482_s_at,238655_at","."
"ACAD8","ACAD8","AMPL25426669",51,31,35,48,58,59,44,47,0,"acyl-CoA_dehydrogenase_family__member_8","87","27034","221669_s_at","ISOBUTYRYL-CoA_DEHYDROGENASE_DEFICIENCY"
"ACAD9","ACAD9","AMPL24496230",84,92,77,69,94,71,84,77,0,"acyl-CoA_dehydrogenase_family__member_9","21497","28976","224160_s_at","ACYL-CoA_DEHYDROGENASE_FAMILY__MEMBER_9__DEFICIENCY_OF"
"ACADM","ACADM","AMPL1584268",118,120,100,112,131,139,117,146,0,"acyl-CoA_dehydrogenase__C-4_to_C-12_straight_chain","89","34","202502_at","ACYL-CoA_DEHYDROGENASE__MEDIUM-CHAIN__DEFICIENCY_OF__ACADMD"
"ACADS","ACADS","AMPL7825",25,27,36,28,19,27,22,30,0,"acyl-CoA_dehydrogenase__C-2_to_C-3_short_chain","90","35","202366_at","ACYL-CoA_DEHYDROGENASE__SHORT-CHAIN__DEFICIENCY_OF__ACADSD"
"ACADSB","ACADSB","AMPL7222152",47,53,26,22,46,36,34,21,0,"acyl-CoA_dehydrogenase__short_branched_chain","91","36","205355_at,226030_at","2-METHYLBUTYRYL-CoA_DEHYDROGENASE_DEFICIENCY"
"ACADVL","ACADVL","AMPL10181",118,117,101,93,129,148,100,94,0,"acyl-CoA_dehydrogenase__very_long_chain","92","37","200710_at","ACYL-CoA_DEHYDROGENASE__VERY_LONG-CHAIN__DEFICIENCY_OF__ACADVLD"
"ACAP1","ACAP1","AMPL24152985",12,22,43,33,12,27,20,24,0,"ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_1","16467","9744","205212_s_at,205213_at","."
"ACAP2","ACAP2","AMPL13640857",70,58,68,45,78,60,51,79,0,"ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_2","16469","23527","1552472_a_at,212476_at","."
"ACAP3","ACAP3","AMPL13987354",12,5,10,9,13,6,5,7,0,"ArfGAP_with_coiled-coil__ankyrin_repeat_and_PH_domains_3","16754","116983","225529_at,225542_at","."
"ACAT1","ACAT1","AMPL12118",242,254,162,146,242,278,248,231,0,"acetyl-CoA_acetyltransferase_1","93","38","1554947_at,1559239_s_at,205412_at","ALPHA-METHYLACETOACETIC_ACIDURIA"
"ACAT2","ACAT2","AMPL26878106",367,404,255,245,393,303,372,350,0,"acetyl-CoA_acetyltransferase_2","94","39","209608_s_at","."
"ACBD3","ACBD3","AMPL37003194",270,292,240,237,301,277,358,281,0,"acyl-CoA_binding_domain_containing_3","15453","64746","202323_s_at,202324_s_at","."
"ACBD4","ACBD4","AMPL4357019",62,58,53,49,59,77,52,45,0,"acyl-CoA_binding_domain_containing_4","23337","79777","219413_at","."
"ACBD5","ACBD5","AMPL36270060",279,283,215,240,219,289,252,260,0,"acyl-CoA_binding_domain_containing_5","23338","91452","1568877_a_at,225663_at","."
"ACBD6","ACBD6","AMPL15181913",212,261,226,311,282,294,338,447,0,"acyl-CoA_binding_domain_containing_6","23339","84320","225317_at","."
"ASIC3","ASIC3","AMPL30664287",20,6,10,20,14,9,12,11,0,"acid-sensing__proton-gated__ion_channel_3","101","9311","207561_s_at","."
"ACCS","ACCS","AMPL2394683",29,23,28,21,23,23,26,27,0,"1-aminocyclopropane-1-carboxylate_synthase_homolog__Arabidopsis__non-functional","23989","84680","228264_at","."
"ACD","ACD","AMPL5993884",99,126,118,110,127,104,157,160,0,"adrenocortical_dysplasia_homolog__mouse","25070","65057","204617_s_at","."
"ACER2","ACER2","AMPL1493437",57,32,37,66,37,56,23,32,0,"alkaline_ceramidase_2","23675","340485",".","."
"ACER3","ACER3","AMPL32851651",172,141,124,124,123,147,140,150,0,"alkaline_ceramidase_3","16066","55331","222687_s_at,222688_at,222689_at,227776_at,238945_at","."
"ACIN1","ACIN1","AMPL24295956",74,62,68,61,51,63,61,43,0,"apoptotic_chromatin_condensation_inducer_1","17066","22985","201715_s_at","."
"ACLY","ACLY","AMPL1076044",1451,1350,1042,1030,1421,1493,632,696,0,"ATP_citrate_lyase","115","47","201127_s_at,201128_s_at,210337_s_at","."
"ACN9","ACN9","AMPL30778507",226,198,228,275,211,193,272,271,0,"ACN9_homolog__S._cerevisiae","21752","57001","218981_at","."
"ACO1","ACO1","AMPL8041086",151,150,40,32,81,86,81,73,0,"aconitase_1__soluble","117","48","207071_s_at,237622_at","."
"ACO2","ACO2","AMPL5067366",144,138,101,103,113,125,93,82,0,"aconitase_2__mitochondrial","118","50","200793_s_at","INFANTILE_CEREBELLAR-RETINAL_DEGENERATION__ICRD"
"ACOT11","ACOT11","AMPL36466747",20,15,6,8,17,10,7,8,0,"acyl-CoA_thioesterase_11","18156","26027","1554938_a_at,1555321_at,214763_at,216103_at","."
"ACOT13","ACOT13","AMPL31536489",657,705,544,432,646,489,663,751,0,"acyl-CoA_thioesterase_13","20999","55856","204565_at","."
"ACOT2","ACOT2","AMPL13144765",32,40,35,34,41,29,74,56,0,"acyl-CoA_thioesterase_2","18431","10965","202982_s_at","."
"ACOT4","ACOT4","AMPL35719990",7,23,12,11,11,15,29,12,0,"acyl-CoA_thioesterase_4","19748","122970","229534_at","."
"ACOT7","ACOT7","AMPL21011666",123,109,118,90,115,139,111,108,0,"acyl-CoA_thioesterase_7","24157","11332","208002_s_at,215728_s_at","."
"ACOT8","ACOT8","AMPL29351247",73,67,42,33,56,35,38,47,0,"acyl-CoA_thioesterase_8","15919","10005","204212_at,236514_at","."
"ACOT9","ACOT9","AMPL4319307",332,387,281,286,319,321,404,347,0,"acyl-CoA_thioesterase_9","17152","23597","221641_s_at,239277_at","."
"ACOX1","ACOX1","AMPL29431396",102,83,91,73,84,91,51,83,0,"acyl-CoA_oxidase_1__palmitoyl","119","51","209600_s_at,213501_at,227962_at","PEROXISOMAL_ACYL-CoA_OXIDASE_DEFICIENCY"
"ACOX3","ACOX3","AMPL7109428",15,19,7,9,17,13,14,6,0,"acyl-CoA_oxidase_3__pristanoyl","121","8310","204241_at,204242_s_at","."
"ACP1","ACP1","AMPL29290989",1894,2132,1890,1988,2413,2560,2680,3164,0,"acid_phosphatase_1__soluble","122","52","1554808_at,201629_s_at,201630_s_at,215227_x_at","."
"ACP2","ACP2","AMPL8290283",82,65,72,66,57,60,54,67,0,"acid_phosphatase_2__lysosomal","123","53","202767_at","ACID_PHOSPHATASE_DEFICIENCY"
"ACP6","ACP6","AMPL31246233",94,83,67,65,97,94,69,50,0,"acid_phosphatase_6__lysophosphatidic","29609","51205","218795_at,242270_at","."
"ACPL2","ACPL2","AMPL3096230",23,23,29,33,29,23,18,37,0,"acid_phosphatase-like_2","26303","92370","226925_at,239475_at","."
"ACSF2","ACSF2","AMPL14062720",29,52,20,16,38,32,24,28,0,"acyl-CoA_synthetase_family_member_2","26101","80221","218844_at","."
"ACSF3","ACSF3","AMPL4274602",57,50,67,93,67,82,91,101,0,"acyl-CoA_synthetase_family_member_3","27288","197322","1556552_a_at,227464_at,235823_at","COMBINED_MALONIC_AND_METHYLMALONIC_ACIDURIA__CMAMMA"
"ACSL1","ACSL1","AMPL11069973",41,36,38,38,52,46,34,35,0,"acyl-CoA_synthetase_long-chain_family_member_1","3569","2180","201963_at,207275_s_at","."
"ACSL3","ACSL3","AMPL20843448",951,932,822,920,860,932,1615,1505,1,"acyl-CoA_synthetase_long-chain_family_member_3","3570","2181","201660_at,201661_s_at,201662_s_at,242726_at","."
"ACSL4","ACSL4","AMPL34850670",252,280,187,154,243,301,159,166,0,"acyl-CoA_synthetase_long-chain_family_member_4","3571","2182","202422_s_at,220010_at","AMME_COMPLEX,MENTAL_RETARDATION__X-LINKED_63__MRX63"
"ACSM3","ACSM3","AMPL27262281",28,30,15,16,13,18,15,12,0,"acyl-CoA_synthetase_medium-chain_family_member_3","10522","6296","205942_s_at,210377_at","."
"ACTA2","ACTA2","AMPL10957017",110,149,87,80,181,168,100,107,0,"actin__alpha_2__smooth_muscle__aorta","130","59","200974_at,237522_at","AORTIC_ANEURYSM__FAMILIAL_THORACIC_6__AAT6,MOYAMOYA_DISEASE_5__MYMY5,MULTISYSTEMIC_SMOOTH_MUSCLE_DYSFUNCTION_SYNDROME"
"ACTB","ACTB","AMPL2343099",21442,27511,19920,19745,27607,26899,24634,24754,0,"actin__beta","132","60","200801_x_at,213867_x_at,224594_x_at,AFFX-HSAC07_X00351_3_at,AFFX-HSAC07_X00351_5_at,AFFX-HSAC07_X00351_M_at","BARAITSER-WINTER_SYNDROME_1__BRWS1,DYSTONIA__JUVENILE-ONSET"
"ACTG1","ACTG1","AMPL11974436",22094,21917,22480,22738,27832,28699,17142,17735,0,"actin__gamma_1","144","60,71","201550_x_at,211970_x_at,211983_x_at,211995_x_at,212363_x_at,212988_x_at,213214_x_at,221607_x_at,224585_x_at","BARAITSER-WINTER_SYNDROME_2__BRWS2,DEAFNESS__AUTOSOMAL_DOMINANT_20__DFNA20"
"ACTL6A","ACTL6A","AMPL28278700",102,123,89,53,99,90,93,84,0,"actin-like_6A","24124","86","202666_s_at","."
"ACTN1","ACTN1","AMPL1973635",1128,1120,976,740,991,1055,724,723,0,"actinin__alpha_1","163","87","200943_at,208636_at,208637_x_at,211160_x_at","BLEEDING_DISORDER__PLATELET-TYPE__15__BDPLT15"
"ACTN4","ACTN4","AMPL27772682",3145,3415,3298,2910,3573,3461,2173,2318,0,"actinin__alpha_4","166","81","200601_at","FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_1__FSGS1"
"ACTR10","ACTR10","AMPL31210443",528,545,307,327,541,719,578,478,0,"actin-related_protein_10_homolog__S._cerevisiae","17372","55860","222230_s_at","."
"ACTR1A","ACTR1A","AMPL27124757",198,220,147,171,193,202,164,129,0,"ARP1_actin-related_protein_1_homolog_A__centractin_alpha__yeast","167","10121","200720_s_at,200721_s_at","."
"ACTR1B","ACTR1B","AMPL28501456",68,89,86,44,83,82,36,66,0,"ARP1_actin-related_protein_1_homolog_B__centractin_beta__yeast","168","10120","202135_s_at","."
"ACTR2","ACTR2","AMPL455942",1706,1761,1231,1343,1848,1715,1093,1221,0,"ARP2_actin-related_protein_2_homolog__yeast","169","10097","1554390_s_at,1558015_s_at,200727_s_at,200728_at,200729_s_at","."
"ACTR3","ACTR3","AMPL27246788",1060,1225,875,896,1192,1244,1180,1340,0,"ARP3_actin-related_protein_3_homolog__yeast","170","10096","200996_at,213101_s_at,213102_at,228603_at,239170_at","."
"ACTR3B","ACTR3B","AMPL31366074",22,11,13,14,12,23,9,12,0,"ARP3_actin-related_protein_3_homolog_B__yeast","17256","57180","1555487_a_at,218868_at","."
"ACTR5","ACTR5","AMPL14003590",37,48,52,45,34,52,66,58,0,"ARP5_actin-related_protein_5_homolog__yeast","14671","79913","219623_at,222147_s_at","."
"ACTR6","ACTR6","AMPL34871598",230,286,206,209,224,213,230,239,0,"ARP6_actin-related_protein_6_homolog__yeast","24025","64431","218395_at,239679_at","."
"ACTR8","ACTR8","AMPL34969596",90,117,134,137,112,153,134,101,0,"ARP8_actin-related_protein_8_homolog__yeast","14672","93973","218658_s_at,222707_s_at","."
"ACVR1","ACVR1","AMPL4747801",181,254,184,168,198,191,274,288,0,"activin_A_receptor__type_I","171","90","203935_at","FIBRODYSPLASIA_OSSIFICANS_PROGRESSIVA__FOP"
"ACVR1B","ACVR1B","AMPL27122439",123,115,158,185,158,144,77,111,0,"activin_A_receptor__type_IB","172","91","205209_at,208218_s_at,208219_at,208222_at,208223_s_at,213198_at","."
"ACVR2A","ACVR2A","AMPL11796878",81,89,89,102,89,115,97,75,0,"activin_A_receptor__type_IIA","173","92","205327_s_at,228416_at","."
"ACVR2B","ACVR2B","AMPL2043789",60,48,56,31,51,52,34,46,0,"activin_A_receptor__type_IIB","174","93","1559548_at,220028_at,236126_at","HETEROTAXY__VISCERAL__4__AUTOSOMAL__HTX4"
"ACY1","ACY1","AMPL7726101",38,27,31,14,18,15,16,18,0,"aminoacylase_1","177","95","202740_at","AMINOACYLASE_1_DEFICIENCY"
"ACYP1","ACYP1","AMPL1189550",57,58,116,87,97,88,114,117,0,"acylphosphatase_1__erythrocyte__common__type","179","97","205260_s_at","."
"ACYP2","ACYP2","AMPL34331911",81,66,57,44,85,61,40,32,0,"acylphosphatase_2__muscle_type","180","101927144,98","206833_s_at","."
"ADA","ADA","AMPL14907",222,275,125,101,206,138,201,178,0,"adenosine_deaminase","186","100","204639_at,216705_s_at","SEVERE_COMBINED_IMMUNODEFICIENCY__AUTOSOMAL_RECESSIVE__T_CELL-NEGATIVE_"
"ADAL","ADAL","AMPL9122152",25,35,28,22,24,29,26,34,0,"adenosine_deaminase-like","31853","161823","236018_at,238424_at,239711_at,241454_at","."
"ADAM1A","ADAM1A","AMPL37929566",22,27,14,25,25,21,19,13,0,"ADAM_metallopeptidase_domain_1A__pseudogene","187",".","228925_at","."
"ADAM10","ADAM10","AMPL5356454",464,496,436,339,458,412,264,235,0,"ADAM_metallopeptidase_domain_10","188","102","202603_at,202604_x_at,214895_s_at","."
"ADAM11","ADAM11","AMPL10853401",12,6,12,8,5,11,2,5,0,"ADAM_metallopeptidase_domain_11","189","4185","207880_at,239837_at","."
"ADAM15","ADAM15","AMPL21702698",166,120,141,161,201,187,114,152,0,"ADAM_metallopeptidase_domain_15","193","8751","1555896_a_at,217007_s_at","."
"ADAM17","ADAM17","AMPL9492210",278,267,282,241,316,391,320,305,0,"ADAM_metallopeptidase_domain_17","195","6868","205745_x_at,205746_s_at,213532_at","INFLAMMATORY_SKIN_AND_BOWEL_DISEASE__NEONATAL__NISBD"
"ADAM19","ADAM19","AMPL16635911",48,29,17,19,23,47,12,3,0,"ADAM_metallopeptidase_domain_19","197","8728","209765_at,221128_at","."
"ADAM23","ADAM23","AMPL30434500",67,73,45,33,64,51,38,46,0,"ADAM_metallopeptidase_domain_23","202","8745","206046_at,213808_at,244463_at","."
"ADAM9","ADAM9","AMPL30180952",761,776,399,386,763,785,423,404,0,"ADAM_metallopeptidase_domain_9","216","8754","1555326_a_at,1570042_a_at,202381_at","CONE-ROD_DYSTROPHY_9__CORD9"
"ADAMTS10","ADAMTS10","AMPL13886090",123,109,77,85,155,126,60,69,0,"ADAM_metallopeptidase_with_thrombospondin_type_1_motif__10","13201","81794","230341_x_at,232133_at","WEILL-MARCHESANI_SYNDROME_1__WMS1"
"ADAMTS12","ADAMTS12","AMPL13984628",21,18,19,12,27,35,8,14,0,"ADAM_metallopeptidase_with_thrombospondin_type_1_motif__12","14605","81792","221421_s_at,226997_at","."
"ADAMTS15","ADAMTS15","AMPL34751805",26,23,27,15,48,44,9,14,0,"ADAM_metallopeptidase_with_thrombospondin_type_1_motif__15","16305","170689","1553427_at,229004_at","."
"ADAMTS6","ADAMTS6","AMPL22131042",5,9,6,11,16,23,12,6,0,"ADAM_metallopeptidase_with_thrombospondin_type_1_motif__6","222","11174","1570351_at,220866_at,237411_at","."
